position,timeFrame,voxelType,fireType,
"(11.0, 3.0, 11.0)",2022.543,Distractor,None,
"(-5.0, 2.0, 17.0)",2022.543,Distractor,None,
"(9.0, 4.0, 18.0)",2022.543,Distractor,None,
"(14.0, 2.0, 9.0)",2022.543,Distractor,None,
"(19.0, 2.0, 3.0)",2022.543,Distractor,None,
"(13.0, 3.0, 6.0)",2022.543,Distractor,None,
"(-3.0, 4.0, 3.0)",2022.543,Distractor,None,
"(7.0, 2.0, 2.0)",2022.543,Distractor,None,
"(-3.0, 3.0, 10.0)",2022.543,Distractor,None,
"(-20.0, 2.0, 10.0)",2022.543,Distractor,None,
"(17.0, 2.0, 17.0)",2022.543,Distractor,None,
"(2.0, 3.0, 14.0)",2022.543,Distractor,None,
"(-19.0, 4.0, 10.0)",2022.543,Distractor,None,
"(-4.0, 3.0, 3.0)",2022.543,Distractor,None,
"(-19.0, 2.0, 3.0)",2022.543,Distractor,None,
"(-2.0, 3.0, 18.0)",2022.543,Distractor,None,
"(7.0, 2.0, 17.0)",2022.543,Distractor,None,
"(7.0, 1.0, 5.0)",2022.543,Distractor,None,
"(-17.0, 3.0, 8.0)",2022.543,Distractor,None,
"(-12.0, 2.0, 15.0)",2022.543,Distractor,None,
"(14.0, 2.0, 17.0)",2022.543,Distractor,None,
"(-19.0, 4.0, 13.0)",2022.543,Distractor,None,
"(-18.0, 1.0, 4.0)",2022.543,Distractor,None,
"(-17.0, 4.0, 2.0)",2022.543,Distractor,None,
"(12.0, 1.0, 11.0)",2022.543,Distractor,None,
"(15.0, 3.0, 10.0)",2022.543,Distractor,None,
"(-10.0, 4.0, 7.0)",2022.543,Distractor,None,
"(4.0, 1.0, 2.0)",2022.543,Distractor,None,
"(-19.0, 3.0, 10.0)",2022.543,Distractor,None,
"(17.0, 1.0, 16.0)",2022.543,Distractor,None,
"(-15.0, 2.0, 10.0)",2022.543,Distractor,None,
"(3.0, 2.0, 16.0)",2022.543,Distractor,None,
"(4.0, 4.0, 1.0)",2022.543,Distractor,None,
"(-5.0, 2.0, 0.0)",2022.543,Distractor,None,
"(-4.0, 2.0, 16.0)",2022.543,Distractor,None,
"(-18.0, 3.0, 2.0)",2022.543,Distractor,None,
"(17.0, 4.0, 2.0)",0,Empty,None,
"(-8.0, 1.0, 1.0)",2022.574,Target,None,
