position,timeFrame,voxelType,fireType,
"(-19.0, 1.0, 13.0)",341.3862,Empty,BlockFire,
"(-19.0, 1.0, 14.0)",341.41,Distractor,BlockFire,
"(-19.0, 1.0, 15.0)",341.3862,Empty,BlockFire,
"(-19.0, 1.0, 16.0)",341.3862,Empty,BlockFire,
"(-19.0, 2.0, 13.0)",341.3862,Empty,BlockFire,
"(-19.0, 2.0, 14.0)",341.3862,Empty,BlockFire,
"(-19.0, 2.0, 15.0)",341.3862,Empty,BlockFire,
"(-19.0, 2.0, 16.0)",341.3862,Empty,BlockFire,
"(-19.0, 3.0, 13.0)",341.3862,Empty,BlockFire,
"(-19.0, 3.0, 14.0)",341.3862,Empty,BlockFire,
"(-19.0, 3.0, 15.0)",341.3862,Empty,BlockFire,
"(-19.0, 3.0, 16.0)",341.3862,Empty,BlockFire,
"(-19.0, 4.0, 13.0)",341.3862,Empty,BlockFire,
"(-19.0, 4.0, 14.0)",341.3862,Empty,BlockFire,
"(-19.0, 4.0, 15.0)",341.3862,Empty,BlockFire,
"(-19.0, 4.0, 16.0)",341.3862,Empty,BlockFire,
"(-18.0, 1.0, 13.0)",341.41,Distractor,BlockFire,
"(-18.0, 1.0, 14.0)",341.3862,Empty,BlockFire,
"(-18.0, 1.0, 15.0)",341.3862,Empty,BlockFire,
"(-18.0, 1.0, 16.0)",341.41,Distractor,BlockFire,
"(-18.0, 2.0, 13.0)",341.3862,Empty,BlockFire,
"(-18.0, 2.0, 14.0)",341.3862,Empty,BlockFire,
"(-18.0, 2.0, 15.0)",341.3862,Empty,BlockFire,
"(-18.0, 2.0, 16.0)",341.3862,Empty,BlockFire,
"(-18.0, 3.0, 13.0)",341.3862,Empty,BlockFire,
"(-18.0, 3.0, 14.0)",341.3862,Empty,BlockFire,
"(-18.0, 3.0, 15.0)",341.3862,Empty,BlockFire,
"(-18.0, 3.0, 16.0)",341.3862,Empty,BlockFire,
"(-18.0, 4.0, 13.0)",341.3862,Empty,BlockFire,
"(-18.0, 4.0, 14.0)",341.3862,Empty,BlockFire,
"(-18.0, 4.0, 15.0)",341.3862,Empty,BlockFire,
"(-18.0, 4.0, 16.0)",341.3862,Empty,BlockFire,
"(-17.0, 1.0, 13.0)",341.3862,Empty,BlockFire,
"(-17.0, 1.0, 14.0)",341.3862,Empty,BlockFire,
"(-17.0, 1.0, 15.0)",341.3862,Empty,BlockFire,
"(-17.0, 1.0, 16.0)",341.3862,Empty,BlockFire,
"(-17.0, 2.0, 13.0)",341.41,Distractor,BlockFire,
"(-17.0, 2.0, 14.0)",341.3862,Empty,BlockFire,
"(-17.0, 2.0, 15.0)",341.3862,Empty,BlockFire,
"(-17.0, 2.0, 16.0)",341.3862,Empty,BlockFire,
"(-17.0, 3.0, 13.0)",341.3862,Empty,BlockFire,
"(-17.0, 3.0, 14.0)",341.3862,Empty,BlockFire,
"(-17.0, 3.0, 15.0)",341.3862,Empty,BlockFire,
"(-17.0, 3.0, 16.0)",341.3862,Empty,BlockFire,
"(-17.0, 4.0, 13.0)",341.3862,Empty,BlockFire,
"(-17.0, 4.0, 14.0)",341.41,Distractor,BlockFire,
"(-17.0, 4.0, 15.0)",341.3862,Empty,BlockFire,
"(-17.0, 4.0, 16.0)",341.3862,Empty,BlockFire,
"(-16.0, 1.0, 13.0)",341.3862,Empty,BlockFire,
"(-16.0, 1.0, 14.0)",341.3862,Empty,BlockFire,
"(-16.0, 1.0, 15.0)",341.3862,Empty,BlockFire,
"(-16.0, 1.0, 16.0)",341.3862,Empty,BlockFire,
"(-16.0, 2.0, 13.0)",341.3862,Empty,BlockFire,
"(-16.0, 2.0, 14.0)",341.41,Distractor,BlockFire,
"(-16.0, 2.0, 15.0)",341.3862,Empty,BlockFire,
"(-16.0, 2.0, 16.0)",341.3862,Empty,BlockFire,
"(-16.0, 3.0, 13.0)",341.3862,Empty,BlockFire,
"(-16.0, 3.0, 14.0)",341.3862,Empty,BlockFire,
"(-16.0, 3.0, 15.0)",341.3862,Empty,BlockFire,
"(-16.0, 3.0, 16.0)",341.3862,Empty,BlockFire,
"(-16.0, 4.0, 13.0)",341.3862,Empty,BlockFire,
"(-16.0, 4.0, 14.0)",341.3862,Empty,BlockFire,
"(-16.0, 4.0, 15.0)",341.3862,Empty,BlockFire,
"(-16.0, 4.0, 16.0)",341.3862,Empty,BlockFire,
"(5.0, 2.0, 1.0)",341.3977,Distractor,None,
"(-2.0, 1.0, 8.0)",341.3977,Distractor,None,
"(8.0, 1.0, 5.0)",341.3977,Distractor,None,
"(14.0, 4.0, 17.0)",341.3977,Distractor,None,
"(17.0, 4.0, 10.0)",341.3977,Distractor,None,
"(-3.0, 3.0, 6.0)",341.3977,Distractor,None,
"(-7.0, 3.0, 13.0)",341.3977,Distractor,None,
"(-7.0, 4.0, 6.0)",341.3977,Distractor,None,
"(-20.0, 2.0, 15.0)",341.3977,Distractor,None,
"(14.0, 3.0, 4.0)",341.3977,Distractor,None,
"(5.0, 1.0, 13.0)",341.3977,Distractor,None,
"(-9.0, 4.0, 10.0)",341.3977,Distractor,None,
"(-7.0, 3.0, 18.0)",341.3977,Distractor,None,
"(-3.0, 3.0, 13.0)",341.3977,Distractor,None,
"(-1.0, 4.0, 11.0)",341.3977,Distractor,None,
"(-7.0, 3.0, 3.0)",341.3977,Distractor,None,
"(17.0, 3.0, 4.0)",341.3977,Distractor,None,
"(-19.0, 3.0, 18.0)",341.3977,Distractor,None,
"(2.0, 3.0, 9.0)",341.3977,Distractor,None,
"(9.0, 2.0, 5.0)",341.3977,Distractor,None,
"(-18.0, 1.0, 17.0)",341.3977,Distractor,None,
"(-20.0, 1.0, 7.0)",341.3977,Distractor,None,
"(-20.0, 3.0, 10.0)",341.3977,Distractor,None,
"(4.0, 2.0, 15.0)",341.3977,Distractor,None,
"(10.0, 3.0, 4.0)",341.3977,Distractor,None,
"(-14.0, 3.0, 10.0)",341.3977,Distractor,None,
"(-6.0, 3.0, 3.0)",341.3977,Distractor,None,
"(9.0, 3.0, 9.0)",341.3977,Distractor,None,
"(-8.0, 4.0, 19.0)",341.3977,Distractor,None,
"(-2.0, 3.0, 3.0)",341.3977,Distractor,None,
"(-11.0, 1.0, 7.0)",341.4205,Target,None,
