position,timeFrame,voxelType,fireType,
"(-9.0, 3.0, 0.0)",1731.598,Distractor,None,
"(18.0, 4.0, 3.0)",1731.598,Distractor,None,
"(-18.0, 1.0, 19.0)",1731.598,Distractor,None,
"(16.0, 1.0, 2.0)",1731.598,Distractor,None,
"(0.0, 3.0, 13.0)",1731.598,Distractor,None,
"(-14.0, 2.0, 9.0)",1731.598,Distractor,None,
"(-9.0, 3.0, 17.0)",1731.598,Distractor,None,
"(-5.0, 2.0, 14.0)",1731.598,Distractor,None,
"(16.0, 1.0, 11.0)",1731.598,Distractor,None,
"(-3.0, 4.0, 14.0)",1731.598,Distractor,None,
"(-15.0, 3.0, 9.0)",1731.598,Distractor,None,
"(-8.0, 3.0, 15.0)",1731.598,Distractor,None,
"(-12.0, 3.0, 11.0)",1731.598,Distractor,None,
"(17.0, 4.0, 11.0)",1731.598,Distractor,None,
"(2.0, 4.0, 19.0)",1731.598,Distractor,None,
"(-4.0, 2.0, 10.0)",1731.598,Distractor,None,
"(10.0, 2.0, 7.0)",1731.598,Distractor,None,
"(-16.0, 1.0, 0.0)",1731.598,Distractor,None,
"(-9.0, 2.0, 7.0)",1731.598,Distractor,None,
"(-2.0, 2.0, 3.0)",1731.598,Distractor,None,
"(-7.0, 2.0, 18.0)",1731.598,Distractor,None,
"(-20.0, 4.0, 7.0)",1731.598,Distractor,None,
"(-6.0, 4.0, 16.0)",1731.598,Distractor,None,
"(-5.0, 2.0, 12.0)",1731.598,Distractor,None,
"(4.0, 4.0, 5.0)",1731.598,Distractor,None,
"(-16.0, 4.0, 1.0)",1731.598,Distractor,None,
"(-13.0, 3.0, 16.0)",1731.598,Distractor,None,
"(-3.0, 4.0, 15.0)",1731.598,Distractor,None,
"(-1.0, 2.0, 11.0)",1731.598,Distractor,None,
"(-14.0, 3.0, 18.0)",1731.598,Distractor,None,
"(14.0, 1.0, 4.0)",1731.598,Distractor,None,
"(11.0, 2.0, 0.0)",1731.598,Distractor,None,
"(12.0, 1.0, 14.0)",1731.598,Distractor,None,
"(12.0, 2.0, 4.0)",1731.598,Distractor,None,
"(-11.0, 1.0, 19.0)",1731.598,Distractor,None,
"(-3.0, 4.0, 9.0)",1731.598,Distractor,None,
"(10.0, 3.0, 3.0)",0,Empty,None,
"(-3.0, 1.0, 13.0)",1731.63,Target,None,
