position,timeFrame,voxelType,fireType,
"(-19.0, 1.0, 13.0)",930.1698,Empty,BlockFire,
"(-19.0, 1.0, 14.0)",930.1698,Empty,BlockFire,
"(-19.0, 1.0, 15.0)",930.1698,Empty,BlockFire,
"(-19.0, 1.0, 16.0)",930.1698,Empty,BlockFire,
"(-19.0, 2.0, 13.0)",930.1698,Empty,BlockFire,
"(-19.0, 2.0, 14.0)",930.1925,Distractor,BlockFire,
"(-19.0, 2.0, 15.0)",930.1698,Empty,BlockFire,
"(-19.0, 2.0, 16.0)",930.1698,Empty,BlockFire,
"(-19.0, 3.0, 13.0)",930.1698,Empty,BlockFire,
"(-19.0, 3.0, 14.0)",930.1698,Empty,BlockFire,
"(-19.0, 3.0, 15.0)",930.1698,Empty,BlockFire,
"(-19.0, 3.0, 16.0)",930.1698,Empty,BlockFire,
"(-19.0, 4.0, 13.0)",930.1698,Empty,BlockFire,
"(-19.0, 4.0, 14.0)",930.1698,Empty,BlockFire,
"(-19.0, 4.0, 15.0)",930.1698,Empty,BlockFire,
"(-19.0, 4.0, 16.0)",930.1698,Empty,BlockFire,
"(-18.0, 1.0, 13.0)",930.1698,Empty,BlockFire,
"(-18.0, 1.0, 14.0)",930.1925,Distractor,BlockFire,
"(-18.0, 1.0, 15.0)",930.1698,Empty,BlockFire,
"(-18.0, 1.0, 16.0)",930.1698,Empty,BlockFire,
"(-18.0, 2.0, 13.0)",930.1925,Distractor,BlockFire,
"(-18.0, 2.0, 14.0)",930.1698,Empty,BlockFire,
"(-18.0, 2.0, 15.0)",930.1698,Empty,BlockFire,
"(-18.0, 2.0, 16.0)",930.1698,Empty,BlockFire,
"(-18.0, 3.0, 13.0)",930.1698,Empty,BlockFire,
"(-18.0, 3.0, 14.0)",930.1698,Empty,BlockFire,
"(-18.0, 3.0, 15.0)",930.1698,Empty,BlockFire,
"(-18.0, 3.0, 16.0)",930.1698,Empty,BlockFire,
"(-18.0, 4.0, 13.0)",930.1925,Distractor,BlockFire,
"(-18.0, 4.0, 14.0)",930.1698,Empty,BlockFire,
"(-18.0, 4.0, 15.0)",930.1698,Empty,BlockFire,
"(-18.0, 4.0, 16.0)",930.1698,Empty,BlockFire,
"(-17.0, 1.0, 13.0)",930.1698,Empty,BlockFire,
"(-17.0, 1.0, 14.0)",930.1698,Empty,BlockFire,
"(-17.0, 1.0, 15.0)",930.1698,Empty,BlockFire,
"(-17.0, 1.0, 16.0)",930.1698,Empty,BlockFire,
"(-17.0, 2.0, 13.0)",930.1698,Empty,BlockFire,
"(-17.0, 2.0, 14.0)",930.1698,Empty,BlockFire,
"(-17.0, 2.0, 15.0)",930.1698,Empty,BlockFire,
"(-17.0, 2.0, 16.0)",930.1698,Empty,BlockFire,
"(-17.0, 3.0, 13.0)",930.1698,Empty,BlockFire,
"(-17.0, 3.0, 14.0)",930.1698,Empty,BlockFire,
"(-17.0, 3.0, 15.0)",930.1925,Distractor,BlockFire,
"(-17.0, 3.0, 16.0)",930.1698,Empty,BlockFire,
"(-17.0, 4.0, 13.0)",930.1698,Empty,BlockFire,
"(-17.0, 4.0, 14.0)",930.1698,Empty,BlockFire,
"(-17.0, 4.0, 15.0)",930.1698,Empty,BlockFire,
"(-17.0, 4.0, 16.0)",930.1698,Empty,BlockFire,
"(-16.0, 1.0, 13.0)",930.1698,Empty,BlockFire,
"(-16.0, 1.0, 14.0)",930.1698,Empty,BlockFire,
"(-16.0, 1.0, 15.0)",930.1698,Empty,BlockFire,
"(-16.0, 1.0, 16.0)",930.1698,Empty,BlockFire,
"(-16.0, 2.0, 13.0)",930.1698,Empty,BlockFire,
"(-16.0, 2.0, 14.0)",930.1698,Empty,BlockFire,
"(-16.0, 2.0, 15.0)",930.1698,Empty,BlockFire,
"(-16.0, 2.0, 16.0)",930.1698,Empty,BlockFire,
"(-16.0, 3.0, 13.0)",930.1698,Empty,BlockFire,
"(-16.0, 3.0, 14.0)",930.1698,Empty,BlockFire,
"(-16.0, 3.0, 15.0)",930.1698,Empty,BlockFire,
"(-16.0, 3.0, 16.0)",930.1698,Empty,BlockFire,
"(-16.0, 4.0, 13.0)",930.1698,Empty,BlockFire,
"(-16.0, 4.0, 14.0)",930.1925,Distractor,BlockFire,
"(-16.0, 4.0, 15.0)",930.1698,Empty,BlockFire,
"(-16.0, 4.0, 16.0)",930.1698,Empty,BlockFire,
"(-12.0, 3.0, 4.0)",930.181,Distractor,None,
"(-12.0, 3.0, 9.0)",930.181,Distractor,None,
"(18.0, 1.0, 0.0)",930.181,Distractor,None,
"(15.0, 1.0, 8.0)",930.181,Distractor,None,
"(9.0, 3.0, 8.0)",930.181,Distractor,None,
"(-13.0, 2.0, 9.0)",930.181,Distractor,None,
"(-13.0, 1.0, 17.0)",930.181,Distractor,None,
"(18.0, 1.0, 18.0)",930.181,Distractor,None,
"(0.0, 4.0, 3.0)",930.181,Distractor,None,
"(19.0, 4.0, 1.0)",930.181,Distractor,None,
"(10.0, 2.0, 16.0)",930.181,Distractor,None,
"(-3.0, 1.0, 14.0)",930.181,Distractor,None,
"(-11.0, 4.0, 3.0)",930.181,Distractor,None,
"(4.0, 3.0, 9.0)",930.181,Distractor,None,
"(4.0, 1.0, 11.0)",930.181,Distractor,None,
"(10.0, 4.0, 7.0)",930.181,Distractor,None,
"(-1.0, 4.0, 8.0)",930.181,Distractor,None,
"(18.0, 4.0, 1.0)",930.181,Distractor,None,
"(4.0, 4.0, 14.0)",930.181,Distractor,None,
"(8.0, 1.0, 17.0)",930.181,Distractor,None,
"(-3.0, 3.0, 10.0)",930.181,Distractor,None,
"(-9.0, 2.0, 1.0)",930.181,Distractor,None,
"(17.0, 2.0, 9.0)",930.181,Distractor,None,
"(-14.0, 4.0, 18.0)",930.181,Distractor,None,
"(17.0, 1.0, 1.0)",930.181,Distractor,None,
"(5.0, 1.0, 16.0)",930.181,Distractor,None,
"(3.0, 4.0, 8.0)",930.181,Distractor,None,
"(9.0, 1.0, 7.0)",930.181,Distractor,None,
"(9.0, 4.0, 15.0)",930.181,Distractor,None,
"(-9.0, 3.0, 11.0)",930.181,Distractor,None,
"(15.0, 1.0, 11.0)",0,Empty,None,
"(17.0, 1.0, 8.0)",930.2145,Target,None,
