position,timeFrame,voxelType,fireType,
"(-1.0, 4.0, 12.0)",1810.026,Distractor,None,
"(-1.0, 4.0, 11.0)",1810.026,Distractor,None,
"(-20.0, 2.0, 1.0)",1810.026,Distractor,None,
"(15.0, 1.0, 1.0)",1810.026,Distractor,None,
"(-8.0, 2.0, 5.0)",1810.026,Distractor,None,
"(14.0, 1.0, 4.0)",1810.026,Distractor,None,
"(-18.0, 1.0, 3.0)",1810.026,Distractor,None,
"(-1.0, 3.0, 17.0)",1810.026,Distractor,None,
"(14.0, 4.0, 9.0)",1810.026,Distractor,None,
"(-11.0, 3.0, 4.0)",1810.026,Distractor,None,
"(-13.0, 2.0, 12.0)",1810.026,Distractor,None,
"(-13.0, 4.0, 6.0)",1810.026,Distractor,None,
"(18.0, 3.0, 9.0)",1810.026,Distractor,None,
"(-18.0, 3.0, 5.0)",1810.026,Distractor,None,
"(-15.0, 2.0, 16.0)",1810.026,Distractor,None,
"(-7.0, 4.0, 1.0)",1810.026,Distractor,None,
"(-18.0, 4.0, 12.0)",1810.026,Distractor,None,
"(-13.0, 3.0, 15.0)",1810.026,Distractor,None,
"(4.0, 4.0, 4.0)",1810.026,Distractor,None,
"(9.0, 3.0, 17.0)",1810.026,Distractor,None,
"(-3.0, 1.0, 16.0)",1810.026,Distractor,None,
"(-4.0, 4.0, 3.0)",1810.026,Distractor,None,
"(4.0, 3.0, 13.0)",1810.026,Distractor,None,
"(-13.0, 1.0, 15.0)",1810.026,Distractor,None,
"(-6.0, 1.0, 15.0)",1810.026,Distractor,None,
"(-6.0, 1.0, 19.0)",1810.026,Distractor,None,
"(7.0, 1.0, 13.0)",1810.026,Distractor,None,
"(16.0, 3.0, 6.0)",1810.026,Distractor,None,
"(-4.0, 2.0, 12.0)",1810.026,Distractor,None,
"(-10.0, 3.0, 16.0)",1810.026,Distractor,None,
"(9.0, 4.0, 2.0)",1810.026,Distractor,None,
"(-8.0, 2.0, 7.0)",1810.026,Distractor,None,
"(-5.0, 3.0, 9.0)",1810.026,Distractor,None,
"(-14.0, 1.0, 1.0)",1810.026,Distractor,None,
"(-4.0, 1.0, 5.0)",1810.026,Distractor,None,
"(-20.0, 2.0, 2.0)",1810.026,Distractor,None,
"(0.0, 4.0, 1.0)",1810.049,Target,None,
