position,timeFrame,voxelType,fireType,
"(8.0, 2.0, 5.0)",2021.024,Distractor,None,
"(2.0, 2.0, 14.0)",2021.024,Distractor,None,
"(15.0, 1.0, 0.0)",2021.024,Distractor,None,
"(-7.0, 1.0, 6.0)",2021.024,Distractor,None,
"(5.0, 4.0, 18.0)",2021.024,Distractor,None,
"(9.0, 2.0, 9.0)",2021.024,Distractor,None,
"(-4.0, 4.0, 12.0)",2021.024,Distractor,None,
"(14.0, 3.0, 1.0)",2021.024,Distractor,None,
"(11.0, 1.0, 15.0)",2021.024,Distractor,None,
"(-19.0, 1.0, 11.0)",2021.024,Distractor,None,
"(-18.0, 1.0, 8.0)",2021.024,Distractor,None,
"(-14.0, 2.0, 5.0)",2021.024,Distractor,None,
"(19.0, 4.0, 3.0)",2021.024,Distractor,None,
"(-9.0, 2.0, 1.0)",2021.024,Distractor,None,
"(14.0, 4.0, 18.0)",2021.024,Distractor,None,
"(-9.0, 4.0, 3.0)",2021.024,Distractor,None,
"(11.0, 3.0, 4.0)",2021.024,Distractor,None,
"(-9.0, 3.0, 14.0)",2021.024,Distractor,None,
"(2.0, 2.0, 8.0)",2021.024,Distractor,None,
"(-14.0, 4.0, 5.0)",2021.024,Distractor,None,
"(-19.0, 3.0, 3.0)",2021.024,Distractor,None,
"(-3.0, 2.0, 11.0)",2021.024,Distractor,None,
"(-13.0, 1.0, 4.0)",2021.024,Distractor,None,
"(16.0, 3.0, 18.0)",2021.024,Distractor,None,
"(15.0, 1.0, 5.0)",2021.024,Distractor,None,
"(-11.0, 3.0, 2.0)",2021.024,Distractor,None,
"(-3.0, 1.0, 17.0)",2021.024,Distractor,None,
"(2.0, 3.0, 12.0)",2021.024,Distractor,None,
"(-6.0, 4.0, 5.0)",2021.024,Distractor,None,
"(14.0, 3.0, 13.0)",2021.024,Distractor,None,
"(-9.0, 4.0, 17.0)",2021.024,Distractor,None,
"(1.0, 4.0, 9.0)",2021.024,Distractor,None,
"(-20.0, 3.0, 14.0)",2021.024,Distractor,None,
"(16.0, 2.0, 18.0)",2021.024,Distractor,None,
"(14.0, 2.0, 19.0)",2021.024,Distractor,None,
"(7.0, 4.0, 16.0)",2021.024,Distractor,None,
"(9.0, 2.0, 11.0)",2021.046,Target,None,
